books (1f4da)
notebook (1f4d3)
ledger (1f4d2)
page_with_curl (1f4c3)
scroll (1f4dc)
page_facing_up (1f4c4)
newspaper (1f4f0)
rolledup_newspaper (1f5de)/////////////////////////////////////////////
bookmark_tabs (1f4d1)
bookmark (1f516)
label (1f3f7)
money_bag (1f4b0)
coin (1fa99)
yen_banknote (1f4b4)
dollar_banknote (1f4b5)
euro_banknote (1f4b6)
pound_banknote (1f4b7)
money_with_wings (1f4b8)
credit_card (1f4b3)
receipt (1f9fe)
chart_increasing_with_yen (1f4b9)
email (1f4e7)
incoming_envelope (1f4e8)
envelope_with_arrow (1f4e9)
outbox_tray (1f4e4)
inbox_tray (1f4e5)
package (1f4e6)
closed_mailbox_with_raised_flag (1f4eb)
closed_mailbox_with_lowered_flag (1f4ea)
open_mailbox_with_raised_flag (1f4ec)
open_mailbox_with_lowered_flag (1f4ed)
postbox (1f4ee)
ballot_box_with_ballot (1f5f3)
pencil (270f)
fountain_pen (1f58b)
pen (1f58a)
paintbrush (1f58c)
crayon (1f58d)
memo (1f4dd)
briefcase (1f4bc)
file_folder (1f4c1)
open_file_folder (1f4c2)
card_index_dividers (1f5c2)
calendar (1f4c5)
tearoff_calendar (1f4c6)
spiral_notepad (1f5d2)
spiral_calendar (1f5d3)
card_index (1f4c7)
chart_increasing (1f4c8)
chart_decreasing (1f4c9)
bar_chart (1f4ca)
clipboard (1f4cb)
pushpin (1f4cc)
round_pushpin (1f4cd)
paperclip (1f4ce)
linked_paperclips (1f587)
straight_ruler (1f4cf)
triangular_ruler (1f4d0)
card_file_box (1f5c3)
file_cabinet (1f5c4)
wastebasket (1f5d1)
locked (1f512)
unlocked (1f513)
locked_with_pen (1f50f)
locked_with_key (1f510)
key (1f511)
old_key (1f5dd)
hammer (1f528)
axe (1fa93)
pick (26cf)
hammer_and_wrench (1f6e0)
dagger (1f5e1)
water_pistol (1f52b)
boomerang (1fa83)
bow_and_arrow (1f3f9)
shield (1f6e1)
carpentry_saw (1fa9a)
wrench (1f527)
screwdriver (1fa9b)
nut_and_bolt (1f529)
clamp (1f5dc)
white_cane (1f9af)
link (1f517)
chains (26d3)
hook (1fa9d)
toolbox (1f9f0)
magnet (1f9f2)
ladder (1fa9c)
test_tube (1f9ea)
petri_dish (1f9eb)
dna (1f9ec)
microscope (1f52c)
telescope (1f52d)
satellite_antenna (1f4e1)
syringe (1f489)
drop_of_blood (1fa78)
pill (1f48a)
adhesive_bandage (1fa79)
stethoscope (1fa7a)
door (1f6aa)
elevator (1f6d7)
mirror (1fa9e)
window (1fa9f)
bed (1f6cf)
couch_and_lamp (1f6cb)
chair (1fa91)
toilet (1f6bd)/////////////////////////////
plunger (1faa0)
shower (1f6bf)
bathtub (1f6c1)
mouse_trap (1faa4)
razor (1fa92)
lotion_bottle (1f9f4)
safety_pin (1f9f7)
broom (1f9f9)
basket (1f9fa)
roll_of_paper (1f9fb)
bucket (1faa3)
